observed_date,road,km,km_offset_m,direction,carriageway,motorcycles,passenger_vehicles,commercial_vehicles,vehicle_total
2025-01-01,SP280,14,100,L,mainline,945,35952,1500,38397
2025-01-01,SP280,14,110,L,mainline,1220,26937,271,28428
2025-01-01,SP280,14,100,L,marginal,1001,21305,580,22886
2025-01-01,SP280,14,120,O,mainline,831,25273,307,26411
2025-01-01,SP280,14,120,O,mainline,1485,41428,1622,44535
2025-01-01,SP280,14,130,O,marginal,680,6798,306,7784
2025-01-02,SP280,14,100,L,mainline,2366,43478,7477,53321
2025-01-02,SP280,14,110,L,mainline,3002,33150,1693,37845
2025-01-02,SP280,14,100,L,marginal,2655,32149,3550,38354
2025-01-02,SP280,14,120,O,mainline,997,34243,2158,37398
2025-01-02,SP280,14,120,O,mainline,3551,51544,7526,62621
2025-01-02,SP280,14,130,O,marginal,2230,12139,2257,16626
2025-01-03,SP280,14,100,L,mainline,2479,40115,8679,51273
2025-01-03,SP280,14,110,L,mainline,3284,31078,2006,36368
2025-01-03,SP280,14,100,L,marginal,2940,36483,4207,43630
2025-01-03,SP280,14,120,O,mainline,1049,38347,2851,42247
2025-01-03,SP280,14,120,O,mainline,3780,56283,9661,69724
2025-01-03,SP280,14,130,O,marginal,2426,13799,2795,19020
2025-01-04,SP280,14,100,L,mainline,1763,41275,5154,48192
2025-01-04,SP280,14,110,L,mainline,2199,33177,1325,36701
2025-01-04,SP280,14,100,L,marginal,2159,33328,2051,37538
2025-01-04,SP280,14,120,O,mainline,924,35731,1643,38298
2025-01-04,SP280,14,120,O,mainline,2667,54178,5347,62192
2025-01-04,SP280,14,130,O,marginal,1560,11639,1352,14551
2025-01-05,SP280,14,100,L,mainline,1207,40161,4146,45514
2025-01-05,SP280,14,110,L,mainline,1612,30244,615,32471
2025-01-05,SP280,14,100,L,marginal,1503,27103,1376,29982
2025-01-05,SP280,14,120,O,mainline,845,31409,580,32834
2025-01-05,SP280,14,120,O,mainline,1839,47305,3333,52477
2025-01-05,SP280,14,130,O,marginal,999,8528,525,10052
2025-01-06,SP280,14,100,L,mainline,2900,39973,9875,52748
2025-01-06,SP280,14,110,L,mainline,3857,31139,2010,37006
2025-01-06,SP280,14,100,L,marginal,2902,40058,4554,47514
2025-01-06,SP280,14,120,O,mainline,1224,44032,3115,48371
2025-01-06,SP280,14,120,O,mainline,4367,58613,10513,73493
2025-01-06,SP280,14,130,O,marginal,2835,16005,3077,21917
2025-01-07,SP280,14,100,L,mainline,2095,34651,10238,46984
2025-01-07,SP280,14,110,L,mainline,3953,30847,2232,37032
2025-01-07,SP280,14,100,L,marginal,2363,42078,4992,49433
2025-01-07,SP280,14,120,O,mainline,1215,45467,3697,50379
2025-01-07,SP280,14,120,O,mainline,4324,58469,11586,74379
2025-01-07,SP280,14,130,O,marginal,2866,16642,3413,22921
